,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
0,SolisSantos,"Director de Oye Veracruz, Diario del Golfo de México.","Xalapa, Veracruz",0,0,4791,2473,17608,La ilegalidad presidencial en tiempos del coronavirus - Oye Veracruz https://t.co/afYdgcoaoR https://t.co/fPqCkbTqyo,[],2020-06-01 23:59:59
1,jordantcrawford,"Freelance content creator | Bad at video games | Georgia State | Technical Director, Publisher @THERSdayNight","Atlanta, GA",0,0,157,67,857,"For those keeping score at home:

The President refused to invoke the Defense Production Act to mobilize and save l… https://t.co/iHskuUsArM",[],2020-06-01 23:59:59
2,brianjameslive,Radio host and author. Follow for “feel good” vibes. 🤘🏾,The United States of America,1,1,3181,5316,78722,"Legislation needs to be introduced to fast-track impeachment in emergency situations.

Non-partisan commentary: Tru… https://t.co/LzXt7iPT84",[],2020-06-01 23:59:59
3,RayGiles1,"Editor of the blog ""Legal Threats Facing Donald Trump"" @ https://trumpslegalproblems.webnode.com/","Roseville, CA",0,0,2,240,66473,"@Post_AG During the coronavirus crisis, President Trump has not always been honest about its severity and the gover… https://t.co/8JMK6F3OWD",[],2020-06-01 23:59:59
4,meaniesbeanie,"proud @Wellesley alum, dog mom, lawyer, news enthusiast, bread evangelist.","Boston, MA",0,0,903,185,2019,"In an opinion piece for @CNN this week, @DrPaulaJohnson addresses the racial and economic inequities currently affe… https://t.co/MFckUDMYZB",[],2020-06-01 23:59:59
5,dhee75661945,,,0,0,70,13,5881,"@DesdelAtlantico Ajustes del teléfono, google y @fernandosimon_ sin nuestro permiso nos ha metido ""notoficaciones d… https://t.co/AJ2pbjxW18",[],2020-06-01 23:59:59
6,ciryah_W,The Lord is my light & my salvation; whom shall I fear?,"Providenciales, Turks & Caicos",0,0,306,330,14586,I don’t think they should allow anyone in this country without a covid-19 test.,[],2020-06-01 23:59:59
7,SYNNEXBrasil,"Expert em conhecimento técnico e de mercado com os principais parceiros, com programas inovadores de suporte e logística.","São Paulo, Brasil",1,1,70,1940,7216,Diversas empresas precisaram mandar seus colaboradores para casa para combater a disseminação do coronavírus. Veja… https://t.co/MOzmkkoepa,[],2020-06-01 23:59:59
8,lvv15,"Meu passatempo preferido é dormir, o segundo é comer e o terceiro reclamar.  🎮🎮","Brasil, Goiânia",0,0,959,1360,128165,"- pandemia
- casos de Ebola
- cackes Expondo o presidente dos estados unidos
- corona virus 

professores 7 da manh… https://t.co/YtyMH7zPBe",[],2020-06-01 23:59:59
9,qualified_ej4,The app with the videos you need to get hired. Our training helps you get more qualified than the other job seekers out there.,"St Louis, MO",0,0,29,20,210,Help prepare your employees for the spread of #coronavirus by giving them actionable tips and training that keep th… https://t.co/0rmvPKQjo2,['coronavirus'],2020-06-01 23:59:59
10,MateusPipe,,Villavicencio-Meta,0,0,1570,1037,498123,"ÚLTIMA HORA

Brasil acumula 526.447 casos de coronavirus y se acerca a los 30.000 fallecidos https://t.co/si5lzvHFXS https://t.co/Xp2zH1x3oB",[],2020-06-01 23:59:59
11,elobrerocritico,"Momento preocupante donde la multinacional vw y otras se aprovechan de la necesidad de empleo,en complicidad con los gobiernos en turno y las centrales obreras", la selva de asfalto poblana,0,0,663,1031,81071,Lo decían estudios científicos y lo confirmó COVID-19: urge enfrentar la mala alimentación en México… https://t.co/EwlmXJ2K3P,[],2020-06-01 23:59:59
12,j3ykub,umm stop staring at my bio tf | IG: je.ykub,,0,0,372,62,3416,"Y’all couldn’t impose a curfew, no REAL STRICT stay at home order for Corona but y’all was SPEEDY with this eight p… https://t.co/s4cQbOW4Tq",[],2020-06-01 23:59:59
13,JadedCup,"Coffee drinking, pop art/illustration, critter loving, artist. Find me on FB @ Draw Me In - Art by Mia and IG @ Mia_Jadedcup_Schubert ✨ Commissions Open ✨","Rancho Cucamonga, CA",0,0,282,94,2341,"For those keeping score at home:

The President refused to invoke the Defense Production Act to mobilize and save l… https://t.co/iHskuUsArM",[],2020-06-01 23:59:59
14,PeepsRide,"Our digital platform enables organisations with providing an on-demand transport service for those with a disability, the elderly and dependents.",Australia,1,0,298,76,950,"""I didn't understand music because I'd never really heard it properly, but now I love it so much.""
https://t.co/huW5WrlFf6",[],2020-06-01 23:59:59
15,jesuspedreira,,Ordes . A Coruña . España,0,0,2642,1599,72701,La Asociación Madrileña de Enfermería denuncia ante la Fiscalía el reparto de mascarillas en las farmacias de la Co… https://t.co/Mgx3IKTlI5,[],2020-06-01 23:59:59
