,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
0,snarky_op,"COUNTRY B4 PARTY⚖️🌏
Russian-Orthodox-LifeLongDEM-MOM-#Utah🍷
SCIENCE. Principles. Wisdom. Kindness. Honor. Duty. Foreign Pol/Russia/NaltSec
#BlackLivesMatter","North Logan, UT",1,1,5000,3650,278356,"@LouDobbs @realDonaldTrump @KimStrassel ""Citing conditions that amount to 'cruel and unusual punishment,' a Miami f… https://t.co/SLFoOPjmiH",[],2020-05-01 23:59:59
1,J_AAngelVill1,"Mi Pasión Fútbol Fan  @NattiNatasha 🇩🇴 @LadyShaniAAA
 🇲🇽 @ClubAmerica💛💙  @AmericaFemenil @America_FB @FCBarcelona_es ❤️💙 @Lakers 💛💜 @Seahawks 💚💙",México,0,0,333,1025,80255,"Preguntas y respuestas en vivo, Contra el COVID-19 #TelevisaTeAcompaña https://t.co/P2bNBvDwBM",['TelevisaTeAcompaña'],2020-05-01 23:59:59
2,malleeabull,,,0,0,124,8,78,"Thanks @carlzimmer and @13pt for this detailed yet incredibly clear piece on mutations, evolution, and what that ca… https://t.co/76YHwPPcEi",[],2020-05-01 23:59:59
3,MY_KINDA_SEX_ED,"★ they/them disabled Irish/Canadian giving their point of view on all things I want ★
*warning rape/domestic abuse  https://www.amazon.ca/hz/wishlist/ls",Canada,0,0,1187,1088,68429,'I died and came back': 12-year-old recovers from virus https://t.co/EgF54vupoI https://t.co/mBvD2A04gF,[],2020-05-01 23:59:59
4,207_Melissa,Lifetime in 207 🇺🇸 Happily Married ❤️ 5 amazing daughters & 3 grandkids 🧡 Daughter US Army 2/4/2020 #GodBlessUSA 🇺🇸,Gorham Maine ,0,0,4129,3426,113110,"If you must travel, take these steps to protect yourself &amp; others from #COVID19 during your trip.… https://t.co/xZ6o0MnL6v",['COVID19'],2020-05-01 23:59:59
5,Marc__Me,Your opinion of me doesn't define who I am,Bombay,0,0,476,1955,185065,"Totally agree. Easy to malign religious congregations, especially those from minorities. No one will use similar la… https://t.co/t9J8rkKhte",[],2020-05-01 23:59:59
6,rosangela_bolze,"Psicóloga, Pesquisadora de Marketing e Comunicação
Ser Político e SENSATO #CoronaVac #BolsonaroGenocida
Fora #BolsoLula
ODEIO TODOS OS RADICAIS 🙄",São Paulo - Brasil,0,0,5788,29983,487970,"As chaos engulfs Brazil's presidency, speculation is rife that Jair Bolsonaro's  vice president is preparing to tak… https://t.co/EBaY4bfVBB",[],2020-05-01 23:59:59
7,old_new_dad,"My views do not represent those of my employer; they barely represent me. Mostly harmless.

My wife thinks I'm cool. He/Him.

#BlackLivesMatter",United States,1,1,2135,537,59172,@KBAndersen @Alpine_Joy Have the 65+ cohort perhaps been exposed to more disinformation about COVID-19 and its risks?,[],2020-05-01 23:59:59
8,lindhays,In Montana. Supporting Joe and Kamala!,"Montana, USA",0,0,4943,2464,257775,"Trump administration blocks public disclosure on coronavirus supplies, financial terms with medical companies, &amp; de… https://t.co/WhLiv3LUhG",[],2020-05-01 23:59:59
9,L_Arnal,"Médecin Généraliste MSU installé en rural dans une MSP. Calembours capillotractés, EBM, geek et actu médicale. Aussi : http://sites.google.com/site/memomedge/",Sud-Ouest,0,0,1228,2221,20274,"#COVID19 : les masques tombent ! 

Communiqué commun des Présidents des Ordres des professions de santé sur la dist… https://t.co/YYFF83IrOX",['COVID19'],2020-05-01 23:59:59
10,CarlosCuadrosC,"Abogado con interés en el Derecho de inversiones, proceso penal, lavado de activos, corrupción de funcionarios, Ética, política internacional y peruana.","Lima, Peru",0,0,602,68,2370,"Trece indigentes de la Casa de Todos en Acho fueron reconocidos por sus familias y volvieron a sus hogares
https://t.co/66oHea3coV",[],2020-05-01 23:59:59
11,rubecito2011,"Cuando la patria esta en peligro, todo esta permitido, excepto, no defenderla.Gral.Don Jose De San Martín",Argentina,2,0,4779,4786,123617,Coronavirus en la Argentina. La Ciudad analiza un protocolo para el regreso de las ferias itinerantes https://t.co/6lKNPlY6hL vía @LANACION,[],2020-05-01 23:59:59
12,rricardobritto,"Sou produtor, ator e cineasta. Amante de artes e liberdade.",,0,0,148,43,180,"CURTA METRAGEM feito com celular durante da pandemia do novo coronavirus.

Assista no IGTV @rricardobritto

#curta… https://t.co/jHo4cqlXJp",['curta'],2020-05-01 23:59:59
13,GrisHdzRmz1,,,0,0,19,23,1384,thank you @iHeartRadio for inviting us to honor all of the local heroes who are fighting the spread of COVID-19 at… https://t.co/duOQbINgss,[],2020-05-01 23:59:59
14,DrFayyaz14,"Medical Doctor.







No Patwaris xxxx. No Jiyalas Plz xxxx.
100% supporter of PM IK since 1997.","Punjab, Pakistan",0,0,1210,1138,21312,The Emirates is proud to announce a medical breakthrough where through local stem cell research and plasma reinject… https://t.co/ECUcEPPHGc,[],2020-05-01 23:59:59
15,iOptimizeRealty,"Tenant Representation, Economic Development, Strategic Advisory, Commercial Real Estate Optimization & Space Disposition #CRE #TenantRep, #Office #Warehouse","Commack, NY",0,0,2933,2241,64440,"Could Coronavirus Trigger Force Majeure Contract Breaks? #CRE #COVID-19 #TenantTips   
https://t.co/41V5rWNgL4","['CRE', 'COVID', 'TenantTips']",2020-05-01 23:59:59
16,chayotecg82,♋👦No puede haber fines nobles y  ruines métodos,"Puebla, México",0,0,703,149,11313,". @Tu_IMSS compró al hijo de #Bartlett el ventilador más caro de la pandemia, denuncia https://t.co/zkjeTRVoP2 https://t.co/NwZU9yxJus",['Bartlett'],2020-05-01 23:59:59
17,Paz2_Alterna,México 🇲🇽 un gran país No dejemos lo destruyan los malos gobernantes #ParticipaciónCiudadana Soy @SumaUne alterna,México,0,0,1121,765,3285,"Yikes: ""The first-quarter drop in Mexican output translates into an annualized decline of 6.1%."" https://t.co/hVPWSrIoM2 via @WSJ",[],2020-05-01 23:59:59
18,Jaypaandiyan,#தமிழன்💪,"Tamil Nadu, India",0,0,221,55,23917,"@WHO @JohnsHopkins @realDonaldTrump @NicolasMaduro UPDATE: Number of #COVID19 cases in #Colombia exceeds 7,000 - He… https://t.co/t2wsD38PLY","['COVID19', 'Colombia']",2020-05-01 23:59:59
19,27kaukara,平和な世界を永遠に追求します！ 戦争は何の意味も得もありません！ただただ、貧しくなるのと、無意味な犠牲が出るだけです！戦争NO！,,0,0,692,469,48951,「韓国政府も日本政府が公式に要請してくれば、COVID-19根絶のための国際協力レベルでの支援を惜しんではならない」いや、この非常時にわざわざ靖国に供物奉納してたし。韓国コンプレックスのない人で内閣を組み直して、正式に頼むべきだと… https://t.co/H9uIYBpCyy,[],2020-05-01 23:59:59
20,ivanatrimbath04,@KUNOBP🐶🔥🔫👿🚬 @armandoaraiza,💩🍓🏰♐🐎💓🌇💤,0,0,4998,1586,44205,I am so touched! It is so true that you never know where true love and empathy will come from! My deepest gratitude… https://t.co/s2b5Id7L1n,[],2020-05-01 23:59:59
21,fascinatorfun,"Retired lawyer. Cooking & good food, books, conversation, dancing, music. Forever European.","South West, England",0,0,6792,59544,248566,BREAKING: The White House just blocked Dr. Fauci from testifying in front of Congress next week. Because they want… https://t.co/5rYlpZ3w3t,[],2020-05-01 23:59:59
