,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
0,0,SAGLCH,Just another funny guy trying to make it through life.,,0,0,281,79,6440,#16 is my immune system fending off corona https://t.co/fVNjayIBne,[],2020-03-21 23:59:59,en
1,1,504bayou,"MEd Strategic planner for innovation & continuous improvement in Education. Quizlet Ambassador, Flipgrid Ambassador, TCEA presenter, Buncee Ambassador MIE cert",,0,0,2597,983,22272,Everyone knows that we're facing a real crisis from the coronavirus. But do you know how we got here and what we ne… https://t.co/dPN7ZReMKu,[],2020-03-21 23:59:59,en
2,2,Flaurilox,Run-of-the-mill atheist.  Lover of mountains and associated appurtenances.  A child of the 60's...turning 60 (ugh).,Canada,0,0,5001,3076,37484,"""She tested for coronavirus, and her results were delayed. Five days later, she was dead in her kitchen."" She was 3… https://t.co/LXhTrpbq8p",[],2020-03-21 23:59:59,en
3,3,howestreet,"Leading Financial News Source: Podcasts, Investment News, Market Commentary",Vancouver,0,0,969,1345,20897,"The Goddard Report with host @jimgoddard3 

#CoronaVirus, #ToxicDrugs, and #FakeNews
How to turn a non-pandemic int… https://t.co/Sux3kN4521","['CoronaVirus', 'ToxicDrugs', 'FakeNews']",2020-03-21 23:59:59,en
6,6,cmadmax,FDREleanorRooseveltMollyIvinsMadeleineAlbrightMarkTwain HarryTrumanAnnRichardsHillaryClintonJFKMalala BarackObama ChaneyGoodman&Schwerner GabbyGiffordsMLKLBJ,,0,0,4294,2741,358676,Robert Reich says airlines ‘shouldn’t see a dime of taxpayer money’ in a coronavirus bailout https://t.co/UleEi2IR5l,[],2020-03-21 23:59:59,en
7,7,knarfnamduh,"Oz born and bred, spent working life in R&D and IP. Fortunate enough to be in the best country in the World, even though I occasionally get grumpy with it.","South Coast, New South Wales",0,0,2298,4195,239253,Coronavirus is spreading fear. Morrison could solve this with the stroke of a pen. People trust  Bowtell and Swan t… https://t.co/6cdLB0KqPC,[],2020-03-21 23:59:59,en
8,8,brixtonrose1,,,0,0,233,38,10227,"Trump finds a way to sprinkle some racism on the coronavirus pandemic.

Full episode: https://t.co/RZR0J200mv https://t.co/2kCsUpU26e",[],2020-03-21 23:59:59,en
11,11,MarxAsher,"An IT Consultant based in London - working globally. Tech, business, leadership, continuous improvement and sports interest me. #COYS",London,0,0,289,57,1201,"The Police in London are trying to brighten the mood.

The are going up and down the Thames in a police boat playin… https://t.co/BXw8uaTgeW",[],2020-03-21 23:59:59,en
13,13,PurgatoryCarol,http://MyOutlanderPurgatory.com,The REAL Jersey Shore,7,0,1575,1058,2914,".@thekrissychula My sister @MyOutlanderPurg  and I need you to make a ""Coronavirus / quarantine yourself"" video tha… https://t.co/iAc8nTTbLn",[],2020-03-21 23:59:59,en
14,14,NagalandNhm,,,0,0,33,397,610,"Observance of World Oral Health Day at Wokha town by Indian Dental Association, wokha branch on March 20. Leaflets… https://t.co/nXSoPBVApH",[],2020-03-21 23:59:59,en
15,15,KateBlake5,"Social Media Manager
Trained Historian/University of Michigan
And the Plague Goes on and On-2021 Edition
No DMs/Anything you need to say can be said on Twitter",Michigan,0,0,2454,1442,51230,DOJ Wants to Suspend Certain Constitutional Rights During Coronavirus Emergency https://t.co/XC7NU86iH2 via @RollingStone,[],2020-03-21 23:59:59,en
