,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
0,ExecutiveOtaku,"Anime, mecha, international relations, history, PC games, and all sorts of nerdy stuff. Too old to blog, too young to die.",USA,4,1,1064,2006,126019,Glad that Trump's Tulsa rally was a flop and got nowhere near the attendees they expected. Still going to be a reck… https://t.co/64md0TLnqy,[],2020-06-20 23:59:59
1,SanaFurqan4,"a true follower not a blind one.
proud muslim.and pakistani",,0,0,322,134,12272,"Feb2020, WHO announced an official name COVID-19 for novel coronavirus outbreak 
In COVID-19
CO' stands for 'corona… https://t.co/cB0Btg9hLE",[],2020-06-20 23:59:58
2,Buzzyfuzzsaw,*** Practitioner of the Fine Art of Rhetorical Hyperbole ***,"Wild, Wild, West Side, NY, USA, Earth",0,0,409,109,2211,"Everybody suddenly begging for free-shit? Dude run-up to me with his hand-out and said, ""Where's mine?"" I hit him i… https://t.co/jjpDT6quRu",[],2020-06-20 23:59:58
3,kitkatherdzz,she/ela,"Ceará, Brasil",0,0,347,96,8570,CORONA VÍRUS PFV ACABA LOGO EU NAO SEI SE VOU CONSEGUIR SEGURAR A PESSOA SO EM CONVERSA VIRTUAL,[],2020-06-20 23:59:58
4,portella_jsp,Futuro produtor rural,"Santa Maria, Brasil",1,0,366,514,9385,@Lukas987p Tá procurando o corona,[],2020-06-20 23:59:58
5,keepinupwittati,Sail your Soul. 🇧🇿 . ♈️Queen,IE,0,0,814,1136,34123,My family made a gofundme for my lil brother. He tested positive for Corona and is having a hard time fighting it.… https://t.co/ZVBUmXoULQ,[],2020-06-20 23:59:57
6,Raff19970,Follow your dreams•They know the way ☮️ I bleed BLUE #BidenHarris2020 Impeachment2.0 #ConvictQtrump #VoteOutQOP #ResistDaily 🚫No Lists 🚫,USA,0,0,1505,2736,159535,"Is there no depth to their depravity, their inhumane fuckduggery? It would be impressive if it weren’t so evil. https://t.co/mZyGi7ZPWc",[],2020-06-20 23:59:56
7,EstefanyAC_,Colorada🇵🇱|| Pisciana ♓ || Insta: @EstefanyCarneiro_,"Porto Alegre, Brasil",1,0,1013,2053,36778,@ffrancielly_nun Vai ir passar corona pras pessoas mesmo,[],2020-06-20 23:59:56
8,vitinkx,"✊🏿◼️🏴

tt novo","Santa Cruz, CA",0,0,172,117,266,Podia ser a gente mas o corona não colabora... #ArraiaDoBelo #OriginalNaLiveDoBelo https://t.co/yYjpLpnJ7V,"['ArraiaDoBelo', 'OriginalNaLiveDoBelo']",2020-06-20 23:59:56
9,GopinathTN60,"'காதற்ற ஊசியும் வாராது காண்
கடைவழிக்கே'.","Theni, Tamilnadu.",0,0,169,74,1211,கொரோனா போரில் உயிரிழந்த காவல் ஆய்வாளர் பாலமுரளி அவர்களுக்கு வீர வணக்கம். அனைவரும் பாதுகாப்பு நடவடிக்கை எடுக்குமாறு… https://t.co/EtZgPVKt49,[],2020-06-20 23:59:55
