,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
0,OrlandoForRev,Committed to the needs of working people and to elevating the political consciousness.,"Orlando, FL",0,0,922,521,5538,"“Unfortunately, now Florida is in a little tough, or a big tough, position,‘' @realDonaldTrump said. “You have a gr… https://t.co/ZLb2TinLKq",[],2020-07-21 23:59:59,en
3,shirodgers,,,0,0,191,107,85895,No White House coronavirus task force members are currently expected to join President Trump's briefing… https://t.co/JaIMqLcR1d,[],2020-07-21 23:59:59,en
5,Badominicana,Add me On #Snapchat and let's start a #Streak 🔥 @Dayra_Beltre 👻 🇩🇴🗽✈️📚👩🏽‍🎓🎶🎧🎬🙈🌹🥀✨🕊🌌🌅There are silences that speak and words that say nothing.,"New York , New York",0,0,1375,1173,130455,"Chinese hackers charged in theft of trade secrets also probed for coronavirus research, DOJ says https://t.co/G8YsIeDYgY via @USATODAY",[],2020-07-21 23:59:59,en
6,iOptimizeRealty,"Tenant Representation, Economic Development, Strategic Advisory, Commercial Real Estate Optimization & Space Disposition #CRE #TenantRep, #Office #Warehouse","Commack, NY",0,0,2926,2240,64306,"COVID-19 &amp; the Force Majeure Clause in Leases #CRE #ForceMajeure #COVID-19
https://t.co/eI41qEYZDe","['CRE', 'ForceMajeure', 'COVID']",2020-07-21 23:59:59,en
8,RoyKenagy,"Student, reader, librarian, consultant, teacher.",Des Moines,0,0,1070,1948,93274,Opinion | Where Is the Outrage? Americans are getting sick and dying while Trump plays a political game—Charles M.… https://t.co/J40Bu5KgUg,[],2020-07-21 23:59:59,en
9,SWIMKILLS,wetware engineer,The Rotten Apple,0,0,2851,2579,161920,"-U.S. says China hackers stole virus data
-Trump warns of a worsening Covid-19 crisis
Xi's plan to liberalize China… https://t.co/wMQBcYKjwu",[],2020-07-21 23:59:59,en
10,LindaSuhler,PRESIDENT Trump was best President ever! America First Christian supports Family~Constitution~Capitalism~NRA~ Police~Israel *My views are solely mine*,USA,0,0,41535,359355,462676,Biden said we need free coronavirus testing and treatment – but President Trump already ensured Americans are able… https://t.co/7hudi2kfIk,[],2020-07-21 23:59:59,en
11,PPHRtweets,ICT & Social Media monitoring State investigations into alleged breaches of Article 6 of Convention on Human Rights. RTs ≠ endorsement.  http://www.pphr.org.uk,,0,0,7698,8685,80198,NHS denied PPE at height of Covid-19 as supplier prioritised China. UK govt had known since 2016 that the NHS could… https://t.co/rVbhaHDMi3,[],2020-07-21 23:59:59,en
13,ImLiveRT,"Tag @ImLiveRT for retweets of your ""LIVE"" Twitch Streams. Follow my personal account @kunani and follow my Twitch below!",,0,0,28,16189,672283,"LIVE!! Link in comments

#twitch #supportsmallstreamers #supportsmallstreams #roadtoaffiliate #shinypokemon… https://t.co/5852d0roWg","['twitch', 'supportsmallstreamers', 'supportsmallstreams', 'roadtoaffiliate', 'shinypokemon', 'crobat', 'raichu']",2020-07-21 23:59:59,en
19,honeywig02,"Move slowly, carefully --- and then strike like the fastest animal on the planet! @realDonaldTrump
#RedWave",,0,0,2258,613,39492,"Joe Biden is always two steps behind President @realDonaldTrump.
 
Here are 5 of Joe Biden’s coronavirus ideas...th… https://t.co/jhGNoGkx3Z",[],2020-07-21 23:59:59,en
21,kamengroup,Print & Digital Media Appraisers & Brokers,New York,0,0,5001,665,16006,Speed of Covid 19 vaccine well on its way. Stunning! American ingenuity is the finest!,[],2020-07-21 23:59:59,en
23,mrbigg450,"Your vote matters. If it didn’t, why would some people keep trying to take it away? #goodtrouble John Lewis.",,0,0,3627,1309,110638,Opinion | I’m a doctor in Miami. Here’s how I know Florida’s covid-19 outbreak won’t improve anytime soon. - The Wa… https://t.co/8AmGE0U3M9,[],2020-07-21 23:59:59,en
24,LizFilmNYC,"TV & Film tweets mainly. Director, Distribution @Starz. Former NY Director at @sagaftraFound, previously @MadeinNY & @Tribeca. #buffalogal","New York, NY",12,3,4999,3046,44141,"Wore a mask thru the entire delivery of my daughter, even AFTER testing NEGATIVE for COVID-19 at the hospital. Why?… https://t.co/PoWKWfW2Tc",[],2020-07-21 23:59:59,en
27,bnyang89,"I'm 31 years old.  I really need someone want to get me out off this Saint Paul, Minnesota, place!","St. Paul, Minnesota",0,0,296,53,886,"You know what y’all?!  How long gonna take average defeat their (COVID) coronavirus clear, gone &amp; disappear?!  I ca… https://t.co/YitPiVFxEs",[],2020-07-21 23:59:58,en
31,kathleensmith4,,,0,0,727,124,71535,"It’s a start. 
Cuomo admits NY made ‘a lot of mistakes’ in coronavirus fight https://t.co/WRxzByH58S",[],2020-07-21 23:59:58,en
33,alexisstoner27,"Anime!!!
You're probably not going to like me 😏¯\_(ツ)_/¯",,0,0,248,229,14754,"The same people calling Portland protesters “peaceful” 

Called Islam “the religion of peace” 

New York the “model… https://t.co/yprRMXIZQO",[],2020-07-21 23:59:58,en
38,hejias,All my posts are IMO and not a recommendation to buy or sell any security. I am not an otc investor. I am a trader.,"Orlando, FL",1,0,175,288,2477,$brav. Use masks!!! 😷.    Trump says COVID-19 in the US will 'get worse before it gets better'  https://t.co/BDXFB0DrF8,[],2020-07-21 23:59:58,en
39,BrianDubas,"Leader, Dealmaker.  Fuel Systems Installer",Metro Phila. Area,0,0,812,212,47037,Walmart announced it would close its stores for Thanksgiving Day this year as a way to thank employees for their wo… https://t.co/bnRQlDfG9c,[],2020-07-21 23:59:58,en
40,mnboss1,"US Navy Veteran, Follow Me and I’ll Follow you 🇺🇸 Proud Liberal, BLM, Maternal Grandparents Born in Ireland.","Florida Now, Past Chicagoland ",0,0,4852,2729,337386,'Wear a mask.' Trump predicts coronavirus will 'get worse' as he returns to briefings https://t.co/Isa5p69ad1 We ar… https://t.co/UAr9vntk0X,[],2020-07-21 23:59:58,en
