,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
0,bobotringan,"Kadang jadi penggemar #ManUtd  | 
Bukan akun bola.",Ubun ubunmu,0,0,703,3426,29691,"Coronavirus deaths

China: 3119
Italy: 463
Iran: 237
South Korea: 53
France: 30
Spain: 30
US: 22
Japan: 17
Iraq: 6… https://t.co/ak0AW0BWRC",[],2020-03-09 23:59:59,en
1,CherokeeNative3,"Retired Paralegal standing in solidarity w/ACLU, BLM, LGBT, PPF &TheResistance! B/c of treasonous espionage, we have a malignant narcissist in WH. #ImpeachTrump",92058,0,0,4069,6621,589979,The mob boss doesn't want an accurate count of the #coronavirus because it will make the stock market plummet. We c… https://t.co/J7As0m39aP,['coronavirus'],2020-03-09 23:59:59,en
3,one4REALchange,"And sometimes, against all odds, against all logic, we still hope.

Champion of Liberty & Rule of Law   ⚖️

#WritingCommunity    #FBR     🚫 Lists    🚫 DMs",,1,0,22108,22166,16513,"@SenSchumer @JohnGunter2020 Rather than spend the weekend in Washington to get a grip on the #coronavirus  crisis,… https://t.co/SML0m9GWJx",['coronavirus'],2020-03-09 23:59:59,en
4,cherrybaysb,"Mom, wife, grandmother to a yorkie named Belle, love laughing! Trump 2020!!",,0,0,2509,2460,395799,Schumer: What was glaringly missing from President Trump’s press conference was how he is actually going to combat… https://t.co/gvK091uqlw,[],2020-03-09 23:59:59,en
5,NorCalAntonio,"Never, ever be afraid to make some noise and get in good trouble, necessary trouble. #goodtrouble —John Lewis","San Francisco, CA",0,0,4009,1470,105928,"All of Italy is in lockdown as coronavirus cases rise

https://t.co/pQi1gt8dIT",[],2020-03-09 23:59:59,en
7,steon2007,"Trump and Brexit prove that the rich can dupe enough of the rest of us to vote against our own interests. Fight, educate and persuade!","Liverpool, England",0,0,4764,1965,7578,"1/ I may be repeating myself, but I want to fight this sense of security that I see outside of the epicenters, as i… https://t.co/0bneqfjfSD",[],2020-03-09 23:59:59,en
8,GinnyWThomas,"Mom, wife, dog & wine lover, avid reader, Longhorn, Texan, Democrat & a bunch of other stuff. Very opinionated,usually correct #StillWithHer #theResistance","California, USA",0,0,7989,8012,54858,"""President Trump, hellbent on re-election, is focused on massaging numbers and silencing bearers of bad news. That’… https://t.co/5yuMLly33c",[],2020-03-09 23:59:59,en
9,NoiSinEss,For the Creed™ | UNSC | Dota 2 player | 💛💜 Mamba Forever | #WakandaForever | This is the Way | Dodgers 2020 WS Champs 💙🤍 | YouTube: YT NoiSinEss,RVA | The Cantina | Virginia,0,0,994,1611,346494,Rumors spread on social media that snorting cocaine and drinking bleach can cure coronavirus – they can't https://t.co/91wkxgSxEH,[],2020-03-09 23:59:59,en
10,MalasKwatro,stay away,,0,0,339,42,1475,"Once a vaccine for coronavirus is developed, it should be free.",[],2020-03-09 23:59:59,en
11,lacher_white,"God Thank You For Keeping Me Humble & Blessed Music Is My LifeThank God For: Mary J. Blige, Aaliyah, Biggie, Lil'Kim, Whitney, Faith, Brandy, Monica, Beyonce","Charleston, SC",0,0,132,750,141964,"Once a vaccine for coronavirus is developed, it should be free.",[],2020-03-09 23:59:59,en
12,Vining40404,Patriotic and independent. Activist since 2016; never worried before. I may or may not agree with retweets and likes. No DMs.,"Michigan, USA",0,0,3032,465,55716,"Donald Trump's day so far:

- Trump may have just been exposed to coronavirus on Air Force One by Matt Gaetz
- Gaet… https://t.co/5o1gndGT7i",[],2020-03-09 23:59:59,en
14,avoidchaos,"Boss bitch. Black women are usually right but sometimes we f*ck up and hug convicted murderers.🤷🏽‍♀️ Free your mind, your behind shall follow.","Los Angeles, CA",0,0,634,1069,204295,"Donald Trump’s day so far:

- Potentially exposed to coronavirus by Matt Gaetz
- Trump holds disastrous… https://t.co/036nyUVt3J",['Pressconference'],2020-03-09 23:59:59,en
15,real_trump_news,"#Resist #FBR
Blocked by snowflakes @erictrump @dbongino 'Dr' @SebGorka
#Impeach45 #kakistocracy",,0,0,4524,1904,49295,"EOIR has ordered immigration court staff to remove CDC posters designed to slow spread of coronavirus. 

No, this is not a parody account.",[],2020-03-09 23:59:59,en
16,julialesueur1,,,0,0,265,74,4575,Coronavirus screening in the US https://t.co/wTwfrWJUYa,[],2020-03-09 23:59:59,en
17,SaeedDiCaprio,UWO’19. MSc Candidate. Palestinian 🇵🇸,NYC/UWO🇨🇦   he/him,10,2,999,15669,25389,why mfs with the coronavirus going on a world tour bro stay your ass home lmfaooo,[],2020-03-09 23:59:59,en
18,SummitSheriffCO,"The Summit County Sheriff's Office is located in Breckenridge, CO.  This site is not monitored 24/7; in an emergency, please call 911.#SCSO","Summit County, Colorado",0,0,404,4039,4862,"The number one question I get is what Coloradans can do to protect themselves and keep safe from COVID-19. 

Here i… https://t.co/u08vSoNPXf",[],2020-03-09 23:59:59,en
19,marcusvandersli,I don't expect much from people,,0,0,116,86,1195,"the coronavirus has around 100k confirmed cases and about 60k ppl have recovered. There has been ~3,500 deaths from… https://t.co/0CfOafU5BR",[],2020-03-09 23:59:59,en
21,SleepyChesh,,,0,0,538,52,15717,BREAKING: A D.C. priest has Coronavirus. He offered communion and shook hands with more than 500 worshippers last w… https://t.co/el2o1bKS7d,[],2020-03-09 23:59:59,en
22,Christian_G_10,Proud But Never Satisfied ; ALG ❤️,,0,0,297,369,13814,If you ever ate here you are immune from the coronavirus. https://t.co/KVdN2iGSun,[],2020-03-09 23:59:59,en
23,kiaraxcook,,,17,0,460,886,73493,Does coronavirus cause explosive shits or something I don’t understand https://t.co/jhzN2SxykS,[],2020-03-09 23:59:59,en
24,RealAdamB1,5G boosted,,0,0,4991,2322,135144,"France banning public gatherings of over 1,000 people to curb the spread of coronavirus but making an exemption for… https://t.co/SgphXAT36W",[],2020-03-09 23:59:59,en
26,Gnasekar,,"Thoraipakkam, Sholinganallur",0,0,130,13,32,Consequences for @redBus_in passengers: 1. Arbitrary sleeper berth changes and forced to share berth with strangers… https://t.co/n3BKZkXaIm,[],2020-03-09 23:59:59,en
27,DredPirateJames,Depressed Millennial™️,The Noble House of El,0,0,193,166,84036,Neither the CDC nor the coronavirus task force chaired by Pence would say who made the decision to forgo the WHO te… https://t.co/OxITFiPo7x,[],2020-03-09 23:59:59,en
29,Popenici,Tweets are always my personal views. If one is irritated by them... good! Thinking is good!,"Darwin, Australia",0,0,240,713,26049,Two US lawmakers exposed to coronavirus before meeting Trump now in self-quarantine https://t.co/EpMa6a2ALj via @FRANCE24,[],2020-03-09 23:59:59,en
31,jmhamiltonblog,Publishing free economic and political thought. Instagram at jm_hamilton_blog,🇨🇦🇺🇸🏳️‍🌈,0,0,4315,5017,611460,Coronavirus: Europeans warned to expect months of disruption https://t.co/kniKNdgsxO,[],2020-03-09 23:59:59,en
33,hovvoodan,💎 SVT! 💎 I'll do autofollback for carats UwU.,"gedung Pledis, studionya uji. ",0,0,893,630,59592,"#EXO's #Baekhyun, #AOA's #Seolhyun, #SEVENTEEN's #Hoshi, And More Make Donations To Help Combat Coronavirus… https://t.co/ttAYe4HGcK","['EXO', 'Baekhyun', 'AOA', 'Seolhyun', 'SEVENTEEN', 'Hoshi']",2020-03-09 23:59:59,en
34,CasseroleFood,"The future is bleak, yo!

Retweets are marriage proposals.",Everywhere and nowhere,0,0,2947,2466,33390,"Trump’s payroll-tax cut will NOT help hourly wage earners, who would pay NO tax if businesses close, and they can’t… https://t.co/DEJZNnbPk0",[],2020-03-09 23:59:59,en
36,karel60524954,It’s always the right time to do the right thing. #NoHateNoFear #BLM #AdoptDontShop #EndGunViolence #ClimateAction #GoodTrouble #StrongerTogether #VoteBlue💙🌊,United States,0,0,12272,11279,67988,"I posted this a few weeks ago, but in light of coronavirus fears its worth a repost.

How effective is washing your… https://t.co/jBhiMKYhWs",[],2020-03-09 23:59:59,en
38,pamcurtis4210,"Tessanne Chin supporter, love music, love to travel.please check out @Tessanne 🎤🙌 music 🎶 @iTunesMusic @spotify @SoundCloud",United States,0,0,173,2100,576291,"NEW: @JoeBiden to @Lawrence on Trump &amp; Coronavirus fallout. ""I wish he would just be quiet. I really mean it. That'… https://t.co/U1TUIZmQZT",[],2020-03-09 23:59:59,en
